#{"t_start": 1610368009.3488455, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-564.055852,68,299.186162
-601.014602,68,299.534194
-871.736004,79,299.897351
-690.550553,81,299.978351
-840.940634,85,300.366041
-761.159019,78,300.722376
-591.563648,63,301.087376
-967.73921,91,301.477047
-724.054289,71,301.54201
-706.407769,72,301.899936
-761.498861,78,302.29689
-784.020317,77,302.674767
-828.296878,85,302.759716
-826.037569,91,303.146289
-913.98899,92,303.51415
-698.462277,71,303.858363
-788.112572,89,304.223361
-479.355456,74,304.570961
-961.258042,91,304.663588
-830.582479,86,305.029148
-678.380591,68,305.45784
-814.370431,80,305.869828
-767.251287,81,306.263099
-545.894766,62,306.322124
-530.200564,68,306.692672
-860.268926,87,307.074917
-459.550663,94,307.437697
-711.98053,71,307.500689
-649.944861,69,307.910029
-911.402191,88,308.306873
-851.502832,83,308.778957
-926.390928,95,309.193957
-647.310918,66,309.2576
-825.082629,82,309.672108
-618.481356,64,310.042944
-880.679785,86,310.629935
-922.862862,91,311.08002
-471.006997,71,311.153985
-498.661756,62,311.57518
-717.317357,72,311.994793
-821.270639,81,312.433158
-859.876767,78,312.516088
-682.887105,72,312.932944
-834.924457,83,313.336353
-542.752521,69,313.712616
-752.446248,72,313.781131
-443.214625,62,314.144308
-720.563371,77,314.499487
-668.753316,74,314.569274
-757.810737,78,314.958536
-673.459997,73,315.32624
-533.563576,69,315.688843
-441.069188,73,315.759774
-591.532156,69,316.105222
-697.897351,239,317.070295
-775.377868,74,317.452209
-771.55304,76,317.830328
-796.46173,84,318.21405
-609.296212,134,318.65508
-690.086829,70,319.185148
-455.556418,52,319.232302
-652.057413,64,319.605166
-743.59579,76,319.983675
-807.321357,78,320.058348
-766.567012,81,320.437713
-647.903706,67,320.805329
-485.26722,67,321.171306
-717.01278,73,321.24223
-801.284833,85,321.618209
-764.000384,84,322.006205
-770.613743,84,322.41846
-676.310065,82,322.796665
-638.052716,69,322.862668
-734.070617,81,323.248552
